"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","GO:0048732","gland development","55/1188","454/18860",0.121145374449339,1.92323380649372,5.16279184758458,2.37738928260515e-06,0.00115561040216066,0.000996874208141899,"FOXC1/CLDN1/HOXA10/CCKBR/TBX19/HOXA11/MTCO2P12/CDKN2A/SERPINB5/GATA6/ETV5/PSAPL1/PPARA/SNAI2/RB1CC1/BCL11B/CSN3/GHRHR/EGFR/SIX3/EDN1/CYP7B1/HLX/LBH/TG/EPHB3/HOXA3/CEBPB/WNT10A/HOXA13/PTCH1/CSN2/NKX2-5/SFRP1/MET/SOD2/HOXA5/PLAG1/HMGA2/NFIB/SOX2/TSPO/ELF5/ID4/SRD5A1/EDA/EXT1/MESP1/NRG3/HOXA9/HOXD13/LMO4/CSMD1/CA3/BMP2",55
"GO:0070661","GO:0070661","leukocyte proliferation","46/1188","356/18860",0.129213483146067,2.05131842772292,5.19219703854199,2.82878546349736e-06,0.00115561040216066,0.000996874208141899,"GAL/TMEM131L/LYN/EPO/NPR3/CDKN2A/IL34/IL12A/PDCD1LG2/GSTP1/PLCL2/P2RX7/CD79A/MEF2C/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/TNFSF8/CD37/IL4I1/CCL8/CD40/VCAM1/IL20RB/GNRH1/CD19/CR1/TNFRSF21/IL18/SH2D2A/IKZF3/SLC11A1/CD1D/CRP/BTK/IL23R/PLA2G2D/CD38/CTLA4/NCKAP1L/RIPOR2/IDO1/TNFSF13B",46
"GO:0006813","GO:0006813","potassium ion transport","35/1188","240/18860",0.145833333333333,2.31516554433221,5.31643984279418,2.95597057716869e-06,0.00115561040216066,0.000996874208141899,"GAL/OPRK1/FXYD7/BIN1/KCNK5/WWP2/AKAP7/CNGB1/KCNQ4/P2RX7/KCNG1/FXYD1/KCNJ16/AKAP6/KCNT2/KCNAB1/FXYD5/PRNP/HCN1/KCNK7/KCNMB1/KCNH5/KCNIP1/KCNB1/HTR2A/KCNH8/ATP1B3/SLC9A9/KCNJ2/SLC12A3/ATP1B2/KCNA6/NOS1/KCNA5/NPPA",35
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","33/1188","220/18860",0.15,2.38131313131313,5.34324669689796,3.02289716559217e-06,0.00115561040216066,0.000996874208141899,"TMEM131L/PAG1/CDKN2A/PDCD1LG2/PPARA/UBASH3B/RGCC/SPI1/HLX/TRPV4/RUNX3/CLEC4G/FXYD5/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/IL20RB/GNRH1/SOCS1/CR1/PPM1F/TNFRSF21/JAK3/PLA2G2D/CTLA4/RIPOR2/IDO1/TNFAIP8L2/BMP2",33
"GO:0007162","GO:0007162","negative regulation of cell adhesion","43/1188","326/18860",0.131901840490798,2.09399723203404,5.16612776950485,3.4761160056954e-06,0.00116490544230376,0.00100489246911028,"TMEM131L/PAG1/GCNT2/CDKN2A/EFNA5/PDCD1LG2/ANGPT1/PPARA/SNAI2/MELTF/UBASH3B/RGCC/SPI1/HLX/TRPV4/RUNX3/CLEC4G/FXYD5/CD80/PRNP/GBP1/CEBPB/CD86/PTPRO/PLA2G5/CD37/IL4I1/IL20RB/GNRH1/SOCS1/CR1/PPM1F/MMP12/TNFRSF21/JAK3/HOXA7/APOD/PLA2G2D/CTLA4/RIPOR2/IDO1/TNFAIP8L2/BMP2",43
"GO:0001655","GO:0001655","urogenital system development","16/1188","68/18860",0.235294117647059,3.73539314715785,5.85885039083671,3.62183467003136e-06,0.00116490544230376,0.00100489246911028,"HOXA10/OSR1/HOXA11/SERPINB5/PSAPL1/CYP7B1/EPHB3/HOXA13/PTCH1/SFRP1/PLAG1/ID4/SRD5A1/HOXA9/HOXD13/AHI1",16
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","39/1188","284/18860",0.137323943661972,2.18007540190639,5.1953824834076,3.70018544827428e-06,0.00116490544230376,0.00100489246911028,"GAL/TMEM131L/LYN/EPO/CDKN2A/IL34/IL12A/PDCD1LG2/GSTP1/MEF2C/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/TNFSF8/CD37/IL4I1/CCL8/CD40/VCAM1/IL20RB/GNRH1/CR1/TNFRSF21/IL18/IKZF3/CD1D/CRP/BTK/IL23R/PLA2G2D/CD38/CTLA4/NCKAP1L/RIPOR2/IDO1/TNFSF13B",39
"GO:0050868","GO:0050868","negative regulation of T cell activation","25/1188","146/18860",0.171232876712329,2.71839398551727,5.404313802011,4.42291046226977e-06,0.00124028828749215,0.00106992062562753,"TMEM131L/PAG1/CDKN2A/PDCD1LG2/HLX/RUNX3/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/CD37/IL4I1/IL20RB/GNRH1/SOCS1/CR1/TNFRSF21/JAK3/PLA2G2D/CTLA4/RIPOR2/IDO1/TNFAIP8L2",25
"GO:0030098","GO:0030098","lymphocyte differentiation","53/1188","441/18860",0.120181405895692,1.90793039999389,5.00222851592785,4.57399990392288e-06,0.00124028828749215,0.00106992062562753,"TMEM131L/TOX/CDKN2A/IL1RL2/LY6D/IL12A/FZD9/NFIL3/CDK6/BCL11B/PLCL2/CD79B/PLCG2/IRF8/CD79A/SPIB/SPI1/IL12RB2/HLX/RUNX3/CLEC4G/HDAC9/CD80/CD86/LYL1/TNFSF8/CHD7/IL4I1/CD83/VCAM1/SFRP1/CD19/SOCS1/CR1/JAK3/IL18/VNN1/SPINK5/IKZF3/PAX5/CD1D/BTK/IL23R/IL6R/PLA2G2D/GPR65/CTLA4/CYP26B1/NCKAP1L/IKZF1/DOCK11/TNFSF13B/NLRP3",53
"GO:0032943","GO:0032943","mononuclear cell proliferation","42/1188","319/18860",0.13166144200627,2.09018080491435,5.09157323378476,4.71358036830611e-06,0.00124028828749215,0.00106992062562753,"GAL/TMEM131L/LYN/EPO/CDKN2A/IL12A/PDCD1LG2/PLCL2/P2RX7/CD79A/MEF2C/CLEC4G/CD80/PRNP/CEBPB/CD86/PLA2G5/TNFSF8/CD37/IL4I1/CD40/VCAM1/IL20RB/GNRH1/CD19/CR1/TNFRSF21/IL18/SH2D2A/IKZF3/SLC11A1/CD1D/CRP/BTK/IL23R/PLA2G2D/CD38/CTLA4/NCKAP1L/RIPOR2/IDO1/TNFSF13B",42
